DEPARTURES_SCHEDULED,DEPARTURES_PERFORMED,SEATS,PASSENGERS,DISTANCE,UNIQUE_CARRIER_NAME,ORIGIN,DEST,AIRCRAFT_TYPE,ORIGIN_STATE_ABR,DEST_STATE_ABR,MONTH
1,1,30,30,363,Via Airlines d/b/a Charter Air Transport,UST,CLT,461,FL,NC,1
1,1,30,17,444,Via Airlines d/b/a Charter Air Transport,SFB,CLT,461,FL,NC,7
2,2,60,2,444,Via Airlines d/b/a Charter Air Transport,SFB,CLT,461,FL,NC,1
3,3,90,46,363,Via Airlines d/b/a Charter Air Transport,UST,CLT,461,FL,NC,10
8,8,240,194,363,Via Airlines d/b/a Charter Air Transport,UST,CLT,461,FL,NC,6
9,9,270,165,363,Via Airlines d/b/a Charter Air Transport,UST,CLT,461,FL,NC,5
9,9,270,214,363,Via Airlines d/b/a Charter Air Transport,UST,CLT,461,FL,NC,7
9,8,240,193,363,Via Airlines d/b/a Charter Air Transport,UST,CLT,461,FL,NC,4
9,9,270,172,363,Via Airlines d/b/a Charter Air Transport,UST,CLT,461,FL,NC,8
9,6,180,82,363,Via Airlines d/b/a Charter Air Transport,UST,CLT,461,FL,NC,9
1,1,30,8,444,Via Airlines d/b/a Charter Air Transport,SFB,CLT,461,FL,NC,12
2,2,60,40,363,Via Airlines d/b/a Charter Air Transport,UST,CLT,461,FL,NC,12
2,2,60,55,363,Via Airlines d/b/a Charter Air Transport,UST,CLT,461,FL,NC,11
1,1,30,29,363,Via Airlines d/b/a Charter Air Transport,UST,CLT,461,FL,NC,10
1,1,30,25,363,Via Airlines d/b/a Charter Air Transport,CLT,UST,461,NC,FL,1
1,1,30,1,444,Via Airlines d/b/a Charter Air Transport,CLT,SFB,461,NC,FL,4
2,2,60,2,444,Via Airlines d/b/a Charter Air Transport,CLT,SFB,461,NC,FL,1
2,2,60,2,444,Via Airlines d/b/a Charter Air Transport,CLT,SFB,461,NC,FL,3
3,3,90,53,363,Via Airlines d/b/a Charter Air Transport,CLT,UST,461,NC,FL,10
8,8,240,183,363,Via Airlines d/b/a Charter Air Transport,CLT,UST,461,NC,FL,6
9,9,270,186,363,Via Airlines d/b/a Charter Air Transport,CLT,UST,461,NC,FL,5
