DEPARTURES_SCHEDULED,DEPARTURES_PERFORMED,SEATS,PASSENGERS,DISTANCE,UNIQUE_CARRIER_NAME,ORIGIN,DEST,AIRCRAFT_TYPE,ORIGIN_STATE_ABR,DEST_STATE_ABR,MONTH
7,7,1260,1038,510,Allegiant Air,SFB,RDU,694,FL,NC,2
7,7,1260,1065,510,Allegiant Air,SFB,RDU,694,FL,NC,3
7,7,1260,853,582,Allegiant Air,VPS,RDU,694,FL,NC,7
14,14,2520,2220,465,Allegiant Air,SFB,AVL,694,FL,NC,11
23,22,3300,2484,468,American Airlines Inc.,MCO,CLT,694,FL,NC,11
8,8,1440,1193,482,Allegiant Air,PIE,GSP,694,FL,SC,10
12,12,2160,1361,489,Allegiant Air,CVG,MYR,694,KY,SC,4
8,8,1440,1173,414,Allegiant Air,BWI,AVL,694,MD,NC,4
20,20,3000,2904,813,American Airlines Inc.,PWM,CLT,694,ME,NC,10
27,26,3900,3152,500,American Airlines Inc.,DTW,CLT,694,MI,NC,7
